Wall time,Step,Value
1620407003.089057,1,-403.15625
1620407030.4842398,20,-482.4750061035156
1620407038.049943,40,-406.6187438964844
1620407043.563297,60,-403.64373779296875
1620407049.151277,80,-403.171875
1620407105.414319,100,-445.17498779296875
1620407129.6066592,120,-460.109375
1620407134.837056,140,-403.140625
1620407144.645291,160,-407.82501220703125
1620407191.556915,180,-461.75
1620407340.718242,200,-389.7250061035156
1620407485.5214021,220,-392.65936279296875
1620407598.5733068,240,-480.75311279296875
1620407749.063491,260,-478.28125
1620407873.684172,280,-426.47186279296875
1620407904.3388538,300,-425.328125
