Wall time,Step,Value
1620407003.088963,1,-301.578125
1620407030.484179,20,-394.02203369140625
1620407038.049883,40,-403.5978088378906
1620407043.5632482,60,-402.3840637207031
1620407049.151228,80,-402.39593505859375
1620407105.4142761,100,-329.64874267578125
1620407129.606627,120,-410.955322265625
1620407134.8370109,140,-402.2054748535156
1620407144.645251,160,-403.3221740722656
1620407191.556875,180,-403.7356262207031
1620407340.718206,200,-201.3389129638672
1620407485.521365,220,-215.93203735351562
1620407598.57327,240,-314.0643615722656
1620407749.063458,260,-192.09375
1620407873.684135,280,-193.2548370361328
1620407904.3388171,300,-358.0238952636719
